Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Physicians density (per 1000 population),Published,1997,South-East Asia,Thailand,0.28,0.28,,,
Physicians density (per 1000 population),Published,2007,Africa,Namibia,0.374,0.374,,,
Dentistry personnel density density (per 1000 population),Published,2003,Americas,Ecuador,0.17,0.17,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Cabo Verde,0.14,0.14,,,
Pharmaceutical personnel density (per 1000 population),Published,1998,Africa,Congo,0.078,0.078,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Americas,Canada,0.67,0.67,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Western Pacific,Micronesia (Federated States of),2.264,2.264,,,
Pharmaceutical personnel density (per 1000 population),Published,1999,Eastern Mediterranean,Tunisia,0.18,0.18,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2004,Africa,Chad,0.04,0.04,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Americas,Canada,10.1664,10.1664,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,Monaco,1.073,1.073,,,
Nursing and midwifery personnel density (per 1000 population),Published,1999,Americas,Saint Kitts and Nevis,6.14,6.14,,,Includes only nurses
Other health workers density (per 1000 population),Published,2007,Africa,Cameroon,0.365,0.365,,,
Other health workers density (per 1000 population),Published,2004,Europe,Kazakhstan,7.593,7.593,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Uganda,1.306,1.306,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Equatorial Guinea,0.15,0.15,,,
Nursing and midwifery personnel density (per 1000 population),Published,1994,Europe,Turkey,1.482,1.482,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>1994</br><b>Value:</b>1.482</br><b> Data Source:</b> Ministry of Health
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Iran (Islamic Republic of),0.19,0.19,,,
Dentistry personnel density density (per 1000 population),Published,2003,Americas,Grenada,0.16,0.16,,,
Physicians density (per 1000 population),Published,2009,South-East Asia,India,0.65,0.65,,,
Physicians density (per 1000 population),Published,2007,Eastern Mediterranean,Jordan,2.561,2.561,,,
Physicians density (per 1000 population),Published,2002,Africa,Botswana,0.303,0.303,,,
Dentistry personnel density density (per 1000 population),Published,2002,Western Pacific,Tonga,0.097,0.097,,,
Physicians density (per 1000 population),Published,1998,Europe,Lithuania,4.155,4.155,,,
Physicians density (per 1000 population),Published,2005,Western Pacific,Micronesia (Federated States of),0.564,0.564,,,
Environmental and public health workers density (per 1000 population),Published,2010,Africa,Zambia,0.089,0.089,,,
Pharmaceutical personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Lebanon,0.95,0.95,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2006,Africa,Mali,0.066,0.066,,,Includes only midwives
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Mauritania,0.14,0.14,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Africa,Zambia,0.025,0.025,,,
Dentistry personnel density density (per 1000 population),Published,1991,Europe,Turkey,0.181,0.181,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,1994,Eastern Mediterranean,Pakistan,0.3372,0.3372,,,
Dentistry personnel density density (per 1000 population),Published,1998,Western Pacific,Kiribati,0.05,0.05,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2010,Eastern Mediterranean,Oman,0.228,0.228,,,
Other health workers density (per 1000 population),Published,2002,Americas,Canada,2.9637,2.9637,,,
Environmental and public health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Iraq,0.1,0.1,,,
Other health workers density (per 1000 population),Published,2009,Africa,Rwanda,0.287,0.287,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Egypt,0.14,0.14,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Guinea-Bissau,0.034,0.034,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Philippines,6,6,,,
Physicians density (per 1000 population),Published,2003,Western Pacific,Tuvalu,0.909,0.909,,,
Other health workers density (per 1000 population),Published,1999,Eastern Mediterranean,Oman,2.186,2.186,,,
Physicians density (per 1000 population),Published,2003,Eastern Mediterranean,Syrian Arab Republic,1.375,1.375,,,
Physicians density (per 1000 population),Published,1999,Americas,Cuba,5.81,5.81,,,
Physicians density (per 1000 population),Published,2001,Eastern Mediterranean,Qatar,2.22,2.22,,,
Other health workers density (per 1000 population),Published,2004,Africa,Swaziland,0.57,0.57,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Afghanistan,0.374,0.374,,,Includes only nurses
Physicians density (per 1000 population),Published,1998,Western Pacific,Kiribati,0.3,0.3,,,
Environmental and public health workers density (per 1000 population),Published,2007,Africa,Mali,0.018,0.018,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Montenegro,0.145,0.145,,,
Physicians density (per 1000 population),Published,1999,Americas,Saint Lucia,5.17,5.17,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,South-East Asia,Maldives,4.448,4.448,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Oman,3.001,3.001,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2004,Europe,Turkey,0.247,0.247,,,
Other health workers density (per 1000 population),Published,2006,Americas,Brazil,0.198,0.198,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Poland,0.655,0.655,,,
Community and traditional health workers density (per 1000 population),Published,1997,Eastern Mediterranean,Pakistan,0.0348,0.0348,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Americas,Uruguay,0.531,0.531,,,Includes only technicians/assistants
Pharmaceutical personnel density (per 1000 population),Published,1990,Eastern Mediterranean,Oman,0.235,0.235,,,
Community and traditional health workers density (per 1000 population),Published,2000,Americas,Saint Vincent and the Grenadines,0.3813,0.3813,,,
Dentistry personnel density density (per 1000 population),Published,2003,Western Pacific,Tonga,0.221,0.221,,,Includes only dentists
Laboratory health workers density (per 1000 population),Published,1998,Western Pacific,Cambodia,0.049,0.049,,,
Dentistry personnel density density (per 1000 population),Published,2007,Western Pacific,Singapore,0.305,0.305,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Zimbabwe,0.02,0.02,,,
Laboratory health workers density (per 1000 population),Published,1990,Africa,Zimbabwe,0.032,0.032,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Kenya,0.381,0.381,,,<b>Nursing and midwifery personnel: </b>Includes registered nurses only</br><b> Country: </b>Kenya </br><b>Year: </b>2008</br><b>Value:</b>0.381</br><b> Data Source:</b> Kenya Bureau of Statistics
Pharmaceutical personnel density (per 1000 population),Published,2006,Americas,Grenada,0.202,0.202,,,
Physicians density (per 1000 population),Published,2001,Eastern Mediterranean,Kuwait,1.53,1.53,,,
Laboratory health workers density (per 1000 population),Published,2005,Americas,Barbados,0.052,0.052,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,South-East Asia,Bangladesh,0.2783,0.2783,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Rwanda,0.075,0.075,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Iraq,0.111,0.111,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2002,Western Pacific,Philippines,0.5899,0.5899,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Americas,Ecuador,1.98,1.98,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Africa,Gabon,0.027,0.027,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2009,Eastern Mediterranean,Pakistan,0.057,0.057,,,
Physicians density (per 1000 population),Published,2008,Eastern Mediterranean,Saudi Arabia,0.939,0.939,,,
Dentistry personnel density density (per 1000 population),Published,1992,Americas,Chile,0.78,0.78,,,
Dentistry personnel density density (per 1000 population),Published,2006,Eastern Mediterranean,Lebanon,1.123,1.123,,,Includes only dentists
Other health workers density (per 1000 population),Published,2005,South-East Asia,India,0.651,0.651,,,
Pharmaceutical personnel density (per 1000 population),Published,2002,Eastern Mediterranean,United Arab Emirates,0.4085,0.4085,,,
Physicians density (per 1000 population),Published,1995,Eastern Mediterranean,Oman,1.106,1.106,,,
Dentistry personnel density density (per 1000 population),Published,2001,Eastern Mediterranean,United Arab Emirates,0.33,0.33,,,Includes only dentists
Physicians density (per 1000 population),Published,2000,South-East Asia,Thailand,0.37,0.37,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Mozambique,0.01,0.01,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Czech Republic,8.785,8.785,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Czech Republic </br><b>Year: </b>2010</br><b>Value:</b>8.785</br><b> Data Source:</b> Health for all database, WHO/EURO "
Dentistry personnel density density (per 1000 population),Published,1995,Americas,Barbados,0.232,0.232,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Morocco,0.27,0.27,,,
Physicians density (per 1000 population),Published,2007,Africa,Algeria,1.207,1.207,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Europe,Finland,1.104,1.104,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Americas,El Salvador,0.303,0.303,,,Includes only nurses
Physicians density (per 1000 population),Published,2008,Americas,Colombia,1.43,1.43,,,
Laboratory health workers density (per 1000 population),Published,2007,South-East Asia,Maldives,0.861,0.861,,,
Physicians density (per 1000 population),Published,1995,Americas,Barbados,1.361,1.361,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Mongolia,3.499,3.499,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Morocco,0.89,0.89,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Germany,1.586,1.586,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,China,1.377,1.377,,,Includes only nurses
Laboratory health workers density (per 1000 population),Published,1998,Africa,Congo,0.132,0.132,,,
Physicians density (per 1000 population),Published,2004,Africa,Liberia,0.03,0.03,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Swaziland,0.07,0.07,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Africa,Guinea,0.021,0.021,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Western Pacific,Malaysia,3.276,3.276,,,"<b>Nursing and midwifery personnel: </b>Includes nurses, community nurses and midwives</br><b> Country: </b>Malaysia </br><b>Year: </b>2010</br><b>Value:</b>3.276</br><b> Data Source:</b> Human Resources Division, MoH; Malaysia Nursing Board. "
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Burkina Faso,0.03,0.03,,,
Health management & support workers density (per 1000 population),Published,2001,Americas,Bolivia (Plurinational State of),0.95,0.95,,,
Physicians density (per 1000 population),Published,1993,Eastern Mediterranean,Tunisia,0.606,0.606,,,
Dentistry personnel density density (per 1000 population),Published,1998,Africa,Congo,0.031,0.031,,,Includes only dentists
Health management & support workers density (per 1000 population),Published,2000,Americas,Mexico,4.17,4.17,,,
Other health workers density (per 1000 population),Published,2005,Africa,Guinea,0.456,0.456,,,
